area_type,availability,location,size,total_sqft,bath,balcony,price
Appartment,Ready To Move,Abid Town,2 BHK,1179,2,1,49
Appartment,Ready To Move,Gohar Green City,3 BHK,1650,3,2,110
Appartment,Ready To Move,Hill Park,3 BHK,1095,2,2,32
House,18-Jan,Korangi Creek,2 BHK,856,2,1,48
Appartment,Ready To Move,Soldier Bazar,2 BHK,1143,2,1,62
Appartment,Ready To Move,PECHS,2 BHK,1349,2,1,97.8
House,Ready To Move,Garden East,3 BHK,1280,2,2,45
Appartment,Ready To Move,Karimabad,1 BHK,480,1,1,60
Appartment,18-Dec,Khayaban-e-Bukhari,2 BHK,1216,2,1,69.06
Appartment,Ready To Move,Jamshed Quarter,3 BHK,2493,3,,115
Appartment,Ready To Move,Civic Centre,2 BHK,1290,2,1,120
Plot,Ready To Move,Korangi Road,5 Bedroom,1200,5,2,96
Appartment,Ready To Move,Sunset Boulevard,2 BHK,1156,2,2,42
Appartment,Ready To Move,Khayaban-e-Jami,2 BHK,1230,2,2,44
Appartment,Ready To Move,Khayaban-e-Ittehad,2 BHK,1070,2,2,33.15
Plot,Immediate Possession,Khayaban-e-Bahria,,2100 - 5405,,,177.115
Appartment,18-Aug,Khayaban-e-Badban,2 BHK,1235,2,1,49.3
House,Ready To Move,Khayaban-e-Hilal,2 BHK,1117,2,1,110
Appartment,Ready To Move,Khayaban-e-Shahbaz,3 BHK,1724,3,2,124
Plot,Ready To Move,Khayaban-e-Sehar,4 Bedroom,1200,4,0,90
Appartment,Ready To Move,Khayaban-e-Rahat,1 BHK,600,1,1,43
Appartment,Ready To Move,Khayaban-e-Muhafiz,3 BHK,1930,2,2,57.9
Appartment,18-Dec,Khayaban-e-Bukhari,2 BHK,1216,2,1,75
House,Ready To Move,Khayaban-e-Nishat,3 BHK,1452,3,3,60
Appartment,Ready To Move,Commercial Avenue,2 BHK,1355,2,3,78
House,Ready To Move,Khayaban-e-Hafiz,4 Bedroom,7500,4,,425
Appartment,Ready To Move,Khayaban-e-Muslim,3 BHK,2145,3,3,190
Appartment,Ready To Move,Khayaban-e-Shaheen,2 BHK,957,2,1,53
House,Ready To Move,Khayaban-e-Shujaat,2 BHK,925,2,2,48
Appartment,Ready To Move,Jamshed Quarter,2 BHK,1550,2,3,59
Plot,Ready To Move,Saba Avenue,4 Bedroom,4000,2,1,899
Plot,20-Jul,Beach Avenue,3 Bedroom,2100,3,2,140
Appartment,21-Dec,Khayaban-e-Mujahid,2 BHK,1115,2,1,61
Appartment,Ready To Move,Khayaban-e-Janbaz,3 BHK,1692,3,2,83
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1100,2,2,52
Appartment,Ready To Move,Khayaban-e-Tanzeem,3 BHK,1385,2,2,69
Appartment,Ready To Move,Khayaban-e-Tauheed,1 BHK,760,1,1,24.9
Appartment,19-Dec,Khayabane-e-Amir Khusro,2 BHK,1335,2,2,67
Appartment,Ready To Move,Khayaban-e-Tariq,2 BHK,910,2,1,45
Appartment,Ready To Move,Khaliq-uz-Zaman,3 BHK,1610,2,2,55
Appartment,19-Mar,Dhoraji Colony,2 BHK,1341,2,1,75.76
Plot,Ready To Move,Muslimabad,3 Bedroom,1200,3,0,70
Appartment,Ready To Move,Gulshan-E-Iqbal one,3 BHK,1285,2,2,44.98
Appartment,Ready To Move,Gulshan-E-Iqbal two,3 BHK,2100,3,,252
Appartment,Ready To Move,PIB Colony,3 BHK,1679,3,,92.13
House,Ready To Move,DHA Defence,4 Bedroom,2675,4,2,290
House,Ready To Move,North Nazimabad,2 BHK,1016,2,1,45.9
House,Ready To Move,Saddar Town,4 Bedroom,1500,2,0,650
Plot,Ready To Move,Gulshan-e-Iqbal Town,3 Bedroom,660,2,1,100
Appartment,Ready To Move,Tariq Road,3 BHK,2448,3,2,400
Appartment,Ready To Move,Clifton,2 BHK,924,2,2,35.11
Appartment,18-Jul,Frere Town,1 BHK,500,1,1,31
Appartment,Ready To Move,Nazimabad,3 BHK,1800,3,2,88
Appartment,Ready To Move,Khalid Bin Walid Road,2 BHK,1255,2,3,77
Appartment,18-Dec,Garden West,2 BHK,1040,2,2,50
Appartment,Ready To Move,Clifton,2 BHK,1062,2,2,47
Appartment,19-Dec,Clifton,2 BHK,770 - 841,2,0,19.33
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,950,2,1,60
Appartment,18-May,Malir,2 BHK,1216,2,1,73
Appartment,Ready To Move,Mehmoodabad,2 BHK,1300,2,2,98
Appartment,Ready To Move,Jamshed Town ,2 BHK,1390,2,2,65
Appartment,19-Jul,Clifton Block nine,2 BHK,1033,2,1,52.58
Appartment,19-Dec,DHA Phase seven,2 BHK,1390,2,2,65.31
Appartment,Ready To Move,DHA Phase six,2 BHK,1020,2,1,52
Appartment,19-Dec,Dhoraji Colony,1 BHK,524 - 894,1,0,34.735
Appartment,18-Oct,Cornish Society Scheme ,2 BHK,1140,2,2,45
Appartment,Ready To Move,Cornish Society Scheme ,1 BHK,670,1,1,36.85
Appartment,18-Jul,North Karachi,4 BHK,2171,4,2,111
Appartment,Ready To Move,Punjab Colony,2 BHK,1136,2,1,48
House,Ready To Move, North Karachi,3 BHK,1477,2,2,80
Appartment,Ready To Move,Airport Road,2 BHK,1001,2,2,30
Appartment,19-Dec,Kashmir Road,2 BHK,1040,2,1,48.86
Appartment,Ready To Move,Clifton,2 BHK,1060,2,1,48.5
Appartment,Ready To Move,Defence Garden,2 BHK,1240,2,1,44.3
Appartment,Ready To Move,Kashmir Road,4 BHK,3500,5,,450
Appartment,Ready To Move,Navy Housing Scheme Karsaz,9 BHK,42000,8,3,175
Appartment,20-Dec,Clifton Block nine,2 BHK,1070,2,2,46
House,Ready To Move,DHA Defence,2 BHK,1253,2,1,65.8
Appartment,Ready To Move,North Nazimabad,2 BHK,1190,2,2,60
Appartment,Ready To Move,Saddar Town,2 BHK,1312,2,2,55
House,Ready To Move,Gulshan-e-Iqbal Town,2 BHK,750,2,0,40
House,Ready To Move,Tariq Road,3 BHK,1615,3,2,115
House,Ready To Move,Clifton,2 BHK,1095,2,1,60
Appartment,Ready To Move,Frere Town,3 BHK,1745,3,3,100
Appartment,Ready To Move,Nazimabad,2 BHK,1050,2,2,52.5
Plot,Ready To Move,Khalid Bin Walid Road,4 Bedroom,2080,4,2,440
Appartment,Ready To Move,Garden West,2 BHK,1220,2,1,44.6
Appartment,Ready To Move,Clifton,3 BHK,1793,3,2,98
Appartment,Ready To Move,Clifton,2 BHK,1100,1,2,45
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1385,2,3,65
Appartment,Ready To Move,Malir,2 BHK,1200,2,2,45
Appartment,Ready To Move,Mehmoodabad,3 BHK,2017,2,2,125
Appartment,Ready To Move,Jamshed Town ,1 BHK,400,1,1,10
Appartment,18-Apr,Clifton Block nine,3 BHK,1400,2,2,44.81
Appartment,Ready To Move,DHA Phase seven,2 BHK,960,2,1,33
Appartment,Ready To Move,DHA Phase six,2 BHK,1125,2,1,47
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1551,2,2,60
Plot,Ready To Move,Cornish Society Scheme ,4 Bedroom,600,4,2,122
Appartment,Ready To Move,Cornish Society Scheme ,2 BHK,1246,2,1,67.4
House,18-Apr,North Karachi,4 BHK,3200,4,3,224
Appartment,Ready To Move,Punjab Colony,2 BHK,1060,2,1,48
Appartment,Ready To Move, North Karachi,2 BHK,1384,2,2,59
Appartment,Ready To Move,Airport Road,2 BHK,620,2,1,23
Appartment,18-Jun,Kashmir Road,2 BHK,1005,2,1,39.77
Plot,Ready To Move,Clifton,3 Bedroom,1200,3,2,128
House,Ready To Move,Defence Garden,3 BHK,1400,3,2,35
Appartment,Ready To Move,Kashmir Road,3 BHK,2400,3,3,88
Appartment,Ready To Move,Navy Housing Scheme Karsaz,2 BHK,1096,2,1,39
Appartment,Ready To Move,Clifton Block nine,2 BHK,1180,1,0,50
Appartment,Ready To Move,Abid Town,3 BHK,1300,2,1,47
Plot,18-Apr,Gohar Green City,2 Bedroom,1020,2,1,62
Plot,Ready To Move,Hill Park,2 Bedroom,600,2,0,35
Appartment,Ready To Move,Korangi Creek,4 BHK,3563,6,1,310
Appartment,Ready To Move,Soldier Bazar,2 BHK,1165,2,2,47
Appartment,18-Mar,PECHS,3 BHK,1685,3,3,100
Appartment,Ready To Move,Garden East,3 BHK,1580,3,3,53.56
Appartment,Ready To Move,Karimabad,2 BHK,1210,2,1,83
Appartment,Ready To Move,Khayaban-e-Bukhari,2 BHK,1030,1,2,25.75
House,Ready To Move,Jamshed Quarter,2 BHK,1100,2,2,43.5
Appartment,19-Dec,Civic Centre,3 BHK,1255,3,2,77.68
Appartment,20-Dec,Korangi Road,3 BHK,1482,3,2,86
Appartment,Ready To Move,Sunset Boulevard,2 BHK,1344,2,1,108
Appartment,18-Jun,Khayaban-e-Jami,3 BHK,1275,2,2,39.8
Plot,Ready To Move,Khayaban-e-Ittehad,3 Bedroom,462,3,,38
Appartment,Ready To Move,Khayaban-e-Bahria,4 BHK,3300,5,3,318
Appartment,Ready To Move,Khayaban-e-Badban,2 BHK,1210,2,2,85
Appartment,19-Jun,Khayaban-e-Hilal,3 BHK,1320,3,3,226
Appartment,19-Mar,Khayaban-e-Shahbaz,3 BHK,1532,3,2,98.13
Appartment,Ready To Move,Khayaban-e-Sehar,2 BHK,1245,2,2,110
Appartment,Ready To Move,Khayaban-e-Rahat,2 BHK,1212,2,,50
Appartment,18-Oct,Khayaban-e-Muhafiz,2 BHK,1230,2,1,65
Plot,Ready To Move,Khayaban-e-Bukhari,5 Bedroom,1000,5,2,180
Appartment,Ready To Move,Khayaban-e-Nishat,3 BHK,2257,3,2,159
Appartment,Ready To Move,Commercial Avenue,2 BHK,1246,2,1,65.4
Appartment,Ready To Move,Khayaban-e-Hafiz,2 BHK,1080,2,2,41
Plot,Ready To Move,Khayaban-e-Muslim,6 Bedroom,3Cents,6,3,75
Appartment,Ready To Move,Khayaban-e-Shaheen,3 BHK,1360,2,3,85
Appartment,Ready To Move,Khayaban-e-Shujaat,2 BHK,1260,2,2,47.88
House,Ready To Move,Jamshed Quarter,4 Bedroom,1200,3,0,110
Appartment,Ready To Move,Saba Avenue,2 BHK,1418,2,2,104
Plot,Ready To Move,Beach Avenue,3 Bedroom,1200,3,1,165
Appartment,Ready To Move,Khayaban-e-Mujahid,2 BHK,950,2,1,39
Appartment,Ready To Move,Khayaban-e-Janbaz,2 BHK,1020,2,2,55
Appartment,18-May,Khayaban-e-Shamsheer,3 BHK,1400,2,2,40.44
Plot,Ready To Move,Khayaban-e-Tanzeem,4 Bedroom,1440,4,0,88
House,Ready To Move,Khayaban-e-Tauheed,6 BHK,800,6,2,75
Appartment,18-Sep,Khayabane-e-Amir Khusro,3 BHK,1310 - 1615,,,62.81
Appartment,18-May,Khayaban-e-Tariq,2 BHK,1175,2,1,69
Appartment,Ready To Move,Khaliq-uz-Zaman,2 BHK,1185,2,1,40.17
Appartment,Ready To Move,Dhoraji Colony,3 BHK,2250,3,1,113
Appartment,Ready To Move,Muslimabad,2 BHK,1178,2,2,40.43
Appartment,Ready To Move,Gulshan-E-Iqbal one,4 BHK,36000,4,2,450
Appartment,Ready To Move,Gulshan-E-Iqbal two,1 BHK,825,1,1,44.9
Appartment,18-May,PIB Colony,3 BHK,1250,3,2,43
Appartment,Ready To Move,DHA Defence,2 BHK,1113.12,2,2,55
Appartment,Ready To Move,North Nazimabad,3 BHK,1718,3,3,223
Appartment,Ready To Move,Saddar Town,2 BHK,1010,2,1,35
Appartment,21-Dec,Gulshan-e-Iqbal Town,2 BHK,900,2,1,41
Plot,Ready To Move,Tariq Road,4 Bedroom,1500,4,3,240
Plot,Ready To Move,Clifton,1 Bedroom,540,1,1,16.5
Appartment,18-May,Frere Town,2 BHK,1020,2,2,29.46
Appartment,18-Jun,Nazimabad,2 BHK,1194,2,1,71.64
Plot,Ready To Move,Khalid Bin Walid Road,8 Bedroom,1470,6,2,300
Plot,Ready To Move,Garden West,3 Bedroom,600,4,2,100
Appartment,Ready To Move,Clifton,2 BHK,1108,2,1,67.15
House,Ready To Move,Clifton,4 BHK,3895,2,1,451
Appartment,21-Jan,Gulistan-e-Jauhar ,2 BHK,700,2,1,34.99
Appartment,Ready To Move,Malir,3 BHK,1600,3,3,68
Appartment,Ready To Move,Mehmoodabad,3 BHK,1850,3,2,90
Appartment,Ready To Move,Jamshed Town ,2 BHK,1250,2,2,33
House,Ready To Move,Clifton Block nine,1 Bedroom,600,1,1,43
Appartment,Ready To Move,DHA Phase seven,2 BHK,1140,2,1,49.27
Appartment,Ready To Move,DHA Phase six,3 BHK,1200,2,2,75
Appartment,Ready To Move,Dhoraji Colony,2 BHK,985,2,1,55
Appartment,Ready To Move,Cornish Society Scheme ,2 BHK,982,2,2,55
House,Ready To Move,Cornish Society Scheme ,1 BHK,600,1,0,20
Appartment,Ready To Move,North Karachi,3 BHK,2640,5,1,142
Appartment,Ready To Move,Punjab Colony,2 BHK,1314,2,2,68.8
Appartment,Ready To Move, North Karachi,3 BHK,1700,2,2,68.5
Appartment,18-May,Airport Road,2 BHK,1077,2,2,93
House,Ready To Move,Kashmir Road,4 Bedroom,1782 - 2000,,,66.165
Appartment,Ready To Move,Clifton,5 BHK,2000,4,1,99
Appartment,Ready To Move,Defence Garden,3 BHK,1643,3,2,75
Plot,Ready To Move,Kashmir Road,3 Bedroom,1200,3,1,67
Appartment,Ready To Move,Navy Housing Scheme Karsaz,2 BHK,1116,2,1,51.91
Appartment,Ready To Move,Clifton Block nine,2 BHK,1020,2,1,41.82
House,Ready To Move,DHA Defence,7 Bedroom,621,7,,64
House,Ready To Move,North Nazimabad,3 BHK,1740,3,2,55
Appartment,18-May,Saddar Town,2 BHK,1225,2,2,47
House,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,1241,2,1,61
Appartment,Ready To Move,Tariq Road,2 BHK,1041,2,2,40.6
Appartment,Ready To Move,Clifton,2 BHK,1050,2,2,46
Appartment,18-Mar,Frere Town,3 BHK,4400,3,1,901
Appartment,21-May,Nazimabad,2 BHK,1309,2,3,64.39
Appartment,Ready To Move,Khalid Bin Walid Road,2 BHK,1128,2,2,45
Appartment,Ready To Move,Garden West,3 BHK,1430,2,1,50
Appartment,19-Dec,Clifton,2 BHK,1065,2,1,47.86
Appartment,Ready To Move,Clifton,2 BHK,1085,2,1,64
Plot,Ready To Move,Gulistan-e-Jauhar ,1 Bedroom,750,1,1,30
Appartment,Ready To Move,Malir,2 BHK,981,2,2,37.28
Carpet  Area,18-Dec,Mehmoodabad,4 BHK,1548.3,4,1,129
Appartment,Ready To Move,Jamshed Town ,4 BHK,2302,4,2,300
House,Ready To Move,Clifton Block nine,3 BHK,1410,2,2,60
Appartment,19-Mar,DHA Phase seven,3 BHK,1525.84,3,1,117
Appartment,Ready To Move,DHA Phase six,2 BHK,1200,2,2,42.6
House,Ready To Move,Dhoraji Colony,2 BHK,1030,2,2,80
Appartment,Ready To Move,Cornish Society Scheme ,3 BHK,1852,2,,95
House,18-Dec,Cornish Society Scheme ,2 BHK,1160,2,1,33.5
House,Ready To Move,North Karachi,2 BHK,918,2,1,49
Appartment,19-Dec,Punjab Colony,3 BHK,1255,2,1,90
Plot,Ready To Move, North Karachi,6 Bedroom,1200,6,3,250
House,Ready To Move,Airport Road,3 BHK,1150,2,2,49.9
Appartment,Ready To Move,Kashmir Road,3 BHK,2700,3,,324
House,18-Mar,Clifton,2 BHK,1150,2,2,69
Appartment,Ready To Move,Defence Garden,2 BHK,1227,2,2,53.49
Appartment,18-Dec,Kashmir Road,3 BHK,1255,3,2,77.68
Plot,Ready To Move,Navy Housing Scheme Karsaz,6 Bedroom,840,8,0,120
Appartment,Ready To Move,Clifton Block nine,2 BHK,1198,2,1,82
Plot,Ready To Move,Abid Town,3 Bedroom,1200,3,1,160
House,Ready To Move,Gohar Green City,3 BHK,188.89Sq. Yards,3,1,180
House,Ready To Move,Hill Park,4 Bedroom,2600,3,1,95
Appartment,Ready To Move,Korangi Creek,3 BHK,2072,4,2,139
Appartment,Ready To Move,Soldier Bazar,2 BHK,797,2,1,32
House,Ready To Move,PECHS,3 BHK,1350,2,3,68
House,Ready To Move,Garden East,4 BHK,2500,4,,200
Appartment,Ready To Move,Karimabad,3 BHK,2215,4,2,160
Appartment,21-Dec,Khayaban-e-Bukhari,1 BHK,525,1,1,30
Appartment,Ready To Move,Jamshed Quarter,4 BHK,2700,4,3,260
Appartment,Ready To Move,Civic Centre,3 BHK,1500,2,1,90
Plot,Ready To Move,Korangi Road,2 Bedroom,900,2,0,55
Appartment,Ready To Move,Sunset Boulevard,3 BHK,1355,2,3,58.27
Appartment,Ready To Move,Khayaban-e-Jami,3 BHK,1465,2,2,49.81
Plot,Ready To Move,Khayaban-e-Ittehad,2 Bedroom,1006,2,1,57
House,Ready To Move,Khayaban-e-Bahria,4 BHK,2000,4,1,75
Appartment,18-Aug,Khayaban-e-Badban,2 BHK,1128,2,1,65.7
House,Ready To Move,Khayaban-e-Hilal,2 BHK,850,2,0,35
Appartment,Ready To Move,Khayaban-e-Shahbaz,3 BHK,1310,2,3,68
Appartment,Ready To Move,Khayaban-e-Sehar,2 BHK,1390,2,2,86
Appartment,Ready To Move,Khayaban-e-Rahat,3 BHK,1390,2,2,76.45
Plot,Ready To Move,Khayaban-e-Muhafiz,4 Bedroom,2396,4,2,325
Appartment,Ready To Move,Khayaban-e-Bukhari,2 BHK,1170,2,1,33
Appartment,Ready To Move,Khayaban-e-Nishat,3 BHK,1385,2,2,50
Appartment,Ready To Move,Commercial Avenue,2 BHK,1160,2,1,42
Appartment,18-May,Khayaban-e-Hafiz,2 BHK,1160,2,1,33.5
Appartment,Ready To Move,Khayaban-e-Muslim,3 BHK,1200,2,2,69
Appartment,Ready To Move,Khayaban-e-Shaheen,2 BHK,1475,2,2,55
House,20-Jul,Khayaban-e-Shujaat,3 Bedroom,1939,3,0,98
House,Ready To Move,Jamshed Quarter,2 BHK,850,2,2,42
House,17-May,Saba Avenue,1 BHK,675,1,1,45
House,Ready To Move,Beach Avenue,2 BHK,1060,2,1,51
Appartment,18-Jun,Khayaban-e-Mujahid,2 BHK,1235,2,2,47
Plot,18-May,Khayaban-e-Janbaz,2 Bedroom,600,4,1,110
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1250,2,1,60
Appartment,Ready To Move,Khayaban-e-Tanzeem,2 BHK,1460,2,3,70
Appartment,Ready To Move,Khayaban-e-Tauheed,3 BHK,1690,3,2,85
House,Ready To Move,Khayabane-e-Amir Khusro,1 BHK,850,1,2,57
Appartment,Ready To Move,Khayaban-e-Tariq,3 BHK,1843,3,2,82
House,Ready To Move,Khaliq-uz-Zaman,3 BHK,1680,3,2,117
Appartment,Ready To Move,Dhoraji Colony,2 BHK,1047,2,1,84
Appartment,18-Jun,Muslimabad,2 BHK,1100,2,2,35
Plot,Ready To Move,Gulshan-E-Iqbal one,8 Bedroom,3250,8,1,600
Appartment,Ready To Move,Gulshan-E-Iqbal two,2 BHK,1120,2,3,53
Appartment,Ready To Move,PIB Colony,2 BHK,1095,2,2,38.33
Appartment,19-Oct,DHA Defence,2 BHK,970,2,2,35
Plot,Ready To Move,North Nazimabad,5 Bedroom,1200,7,2,125
House,Ready To Move,Saddar Town,3 BHK,1100,2,3,85
Appartment,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,1685,3,2,85
House,Ready To Move,Tariq Road,2 BHK,1148,2,1,59
House,Ready To Move,Clifton,2 BHK,1050,2,1,65
Appartment,Ready To Move,Frere Town,3 BHK,1465,2,1,76
Plot,Ready To Move,Nazimabad,4 Bedroom,3401,5,,230
House,17-Dec,Khalid Bin Walid Road,1 BHK,630,1,1,60
Appartment,Ready To Move,Garden West,3 BHK,1850,3,1,150
Plot,Ready To Move,Clifton,9 Bedroom,1200,9,,175
House,Ready To Move,Clifton,4 Bedroom,1750,2,1,225
House,Ready To Move,Gulistan-e-Jauhar ,3 BHK,1350,3,1,60
Appartment,Ready To Move,Malir,3 BHK,1760,3,2,160
Appartment,Ready To Move,Mehmoodabad,2 BHK,1440,2,2,185
Appartment,Ready To Move,Jamshed Town ,2 BHK,1200,2,0,42
House,Ready To Move,Clifton Block nine,2 BHK,1100,2,1,78
House,Ready To Move,DHA Phase seven,2 BHK,1140,2,2,46
Appartment,19-Aug,DHA Phase six,3 BHK,1469 - 1766,3,0,73.595
Appartment,Ready To Move,Dhoraji Colony,2 BHK,1410,2,2,45
Appartment,Ready To Move,Cornish Society Scheme ,3 BHK,1434,2,1,67.39
Plot,Ready To Move,Cornish Society Scheme ,2 Bedroom,1180,2,2,74
Appartment,Ready To Move,North Karachi,2 BHK,1160,2,2,42
Appartment,Ready To Move,Punjab Colony,2 BHK,1343,2,2,86
House,Ready To Move, North Karachi,2 BHK,1184,2,1,69
Appartment,Ready To Move,Airport Road,3 BHK,2246,3,0,300
House,Ready To Move,Kashmir Road,3 Bedroom,4510,4,3,200
Appartment,Ready To Move,Clifton,3 BHK,1305,2,1,59
Appartment,Ready To Move,Defence Garden,4 BHK,3785,5,,280
Appartment,Ready To Move,Kashmir Road,3 BHK,1540,3,2,85
Appartment,Ready To Move,Navy Housing Scheme Karsaz,3 BHK,1550,3,3,65.11
Appartment,Ready To Move,Clifton Block nine,3 BHK,1345,2,1,57
Appartment,Ready To Move,DHA Defence,3 BHK,975,2,2,45
Appartment,Ready To Move,North Nazimabad,2 BHK,1140,2,2,46
Appartment,18-Aug,Saddar Town,2 BHK,1152,2,1,34.56
House,Ready To Move,Gulshan-e-Iqbal Town,4 Bedroom,3200,4,2,700
Appartment,19-Dec,Tariq Road,3 BHK,1033,2,2,31.5
Appartment,Ready To Move,Clifton,3 BHK,1800,3,0,230
Appartment,Ready To Move,Frere Town,2 BHK,1102,2,2,53.67
Appartment,Ready To Move,Nazimabad,3 BHK,1223,2,2,42.81
Appartment,18-Mar,Khalid Bin Walid Road,3 BHK,1762,3,3,112
House,Ready To Move,Garden West,2 BHK,560,2,1,16.6
House,Ready To Move,Clifton,6 Bedroom,2000,6,0,85
Appartment,Ready To Move,Clifton,3 BHK,1410,2,2,38
Appartment,19-Dec,Gulistan-e-Jauhar ,3 BHK,1853,3,1,64.86
Appartment,Ready To Move,Malir,2 BHK,1455,2,,69
Appartment,18-Jan,Mehmoodabad,2 BHK,1138,2,1,110
House,Ready To Move,Jamshed Town ,3 Bedroom,2556,3,2,169
Appartment,18-May,Clifton Block nine,3 BHK,1200,2,0,66.5
Appartment,Ready To Move,DHA Phase seven,2 BHK,1200,2,2,37
Appartment,Ready To Move,DHA Phase six,3 BHK,204Sq. Meter,4,2,185
Plot,19-Jan,Dhoraji Colony,2 Bedroom,1200,1,1,36
Appartment,19-Jun,Cornish Society Scheme ,3 BHK,1870,3,2,138
Appartment,18-May,Cornish Society Scheme ,2 BHK,1199,2,1,86
Plot,Ready To Move,North Karachi,6 Bedroom,800,8,,150
Appartment,Ready To Move,Punjab Colony,3 BHK,1360,2,2,54.4
Appartment,Ready To Move, North Karachi,3 BHK,1230,3,3,53
Appartment,Ready To Move,Airport Road,3 BHK,2000,3,2,120
Plot,Ready To Move,Kashmir Road,4 Bedroom,1200,4,2,250
Appartment,Ready To Move,Clifton,2 BHK,1047,2,1,83
Plot,18-Mar,Defence Garden,4 Bedroom,6000,4,,260
Plot,18-Feb,Kashmir Road,2 Bedroom,1200,2,1,76
Appartment,18-Jan,Navy Housing Scheme Karsaz,2 BHK,1255 - 1350,2,0,44.285
Appartment,Ready To Move,Clifton Block nine,2 BHK,725,2,1,30
Appartment,Ready To Move,Abid Town,3 BHK,1645,3,1,100
House,Ready To Move,Gohar Green City,2 BHK,870,2,1,65
Appartment,Ready To Move,Hill Park,2 BHK,1026,2,1,49.95
House,18-Jul,Korangi Creek,3 BHK,2000,3,1,145
Appartment,Ready To Move,Soldier Bazar,2 BHK,1710,2,2,200
Appartment,18-Apr,PECHS,3 BHK,1766,3,1,130
Appartment,Ready To Move,Garden East,1 BHK,500,1,1,15
House,18-Apr,Karimabad,2 BHK,1100,1,1,15
Appartment,Ready To Move,Khayaban-e-Bukhari,3 BHK,1221,3,3,52
Appartment,Ready To Move,Jamshed Quarter,1 BHK,680,1,1,46
Appartment,Ready To Move,Civic Centre,2 BHK,1278,2,2,90
Appartment,Ready To Move,Korangi Road,2 BHK,1025,2,2,66
Appartment,18-Aug,Sunset Boulevard,2 BHK,1175,2,1,39
Appartment,19-Jul,Khayaban-e-Jami,2 BHK,870 - 1080,2,0,28.275
House,Ready To Move,Khayaban-e-Ittehad,1 Bedroom,600,1,1,75
Appartment,Ready To Move,Khayaban-e-Bahria,2 BHK,850,2,1,42
Appartment,Ready To Move,Khayaban-e-Badban,2 BHK,710,2,0,25
House,18-Dec,Khayaban-e-Hilal,2 BHK,1165,2,1,33.64
Appartment,18-Apr,Khayaban-e-Shahbaz,1 BHK,625,1,1,19
Appartment,Ready To Move,Khayaban-e-Sehar,3 BHK,1340,3,1,66
Appartment,Ready To Move,Khayaban-e-Rahat,2 BHK,937,2,1,35
Plot,Ready To Move,Khayaban-e-Muhafiz,7 Bedroom,1500,6,0,210
Appartment,Ready To Move,Khayaban-e-Bukhari,1 BHK,750,1,1,52.5
House,Ready To Move,Khayaban-e-Nishat,5 Bedroom,45Sq. Yards,6,3,400
House,Ready To Move,Commercial Avenue,3 BHK,1475,3,3,78
Plot,Ready To Move,Khayaban-e-Hafiz,4 Bedroom,2230,4,1,130
Plot,Ready To Move,Khayaban-e-Muslim,4 Bedroom,2200,5,1,100
Plot,Ready To Move,Khayaban-e-Shaheen,2 Bedroom,900,2,0,65
Appartment,Ready To Move,Khayaban-e-Shujaat,2 BHK,1116,2,2,37
House,Ready To Move,Jamshed Quarter,2 BHK,948,2,1,75
Appartment,Ready To Move,Saba Avenue,2 BHK,970,2,1,55
Appartment,Ready To Move,Beach Avenue,3 BHK,1519,3,2,67.23
Appartment,Ready To Move,Khayaban-e-Mujahid,3 BHK,1200,2,1,65
Appartment,Ready To Move,Khayaban-e-Janbaz,3 BHK,1760,3,2,127
Plot,Ready To Move,Khayaban-e-Shamsheer,4 Bedroom,4400,5,3,525
Appartment,Ready To Move,Khayaban-e-Tanzeem,3 BHK,1914,3,3,179
Appartment,Ready To Move,Khayaban-e-Tauheed,3 BHK,1820,3,2,85.5
Appartment,Ready To Move,Khayabane-e-Amir Khusro,3 BHK,1820,3,2,93
House,Ready To Move,Khayaban-e-Tariq,3 BHK,1565,3,2,78
Appartment,Ready To Move,Khaliq-uz-Zaman,2 BHK,1334,2,3,42.69
Appartment,19-Mar,Dhoraji Colony,2 BHK,924,2,2,76.23
Appartment,Ready To Move,Muslimabad,2 BHK,914,2,2,49
House,Ready To Move,Gulshan-E-Iqbal one,1 BHK,500,1,1,17
Appartment,18-Mar,Gulshan-E-Iqbal two,3 BHK,2145,3,3,125
Plot,Ready To Move,PIB Colony,5 Bedroom,1200,5,,162
House,18-Apr,DHA Defence,3 BHK,1650,3,2,100
Appartment,Ready To Move,North Nazimabad,4 BHK,3940,4,3,220
House,18-Dec,Saddar Town,2 BHK,1020,2,1,29.45
House,Ready To Move,Gulshan-e-Iqbal Town,2 BHK,1180,2,3,58
Appartment,Ready To Move,Tariq Road,2 BHK,1255,2,3,120
Appartment,20-Jul,Clifton,3 BHK,2777.29,5,2,650
Appartment,Ready To Move,Frere Town,2 BHK,1014,2,1,35
House,Ready To Move,Nazimabad,4 Bedroom,920,2,0,90
Appartment,Ready To Move,Khalid Bin Walid Road,2 BHK,695,1,1,25
Plot,Ready To Move,Garden West,3 Bedroom,2273,4,3,220
Appartment,18-Mar,Clifton,2 BHK,1140,2,2,48.95
